bin n_pre n_post k_pre/h/Mpc k_post power_pre/(Mpc/h)^3 power_post power_reference
0 89 89 0.006366 0.006366 21951.699106 21951.699106 22312.865547
1 64 64 0.006811 0.006811 28436.434254 28436.434254 23006.661628
2 84 84 0.007306 0.007306 24136.155926 24136.155926 23685.745261
3 69 69 0.007672 0.007672 24029.456412 24029.456412 24127.793274
4 116 116 0.008103 0.008103 21554.201534 21554.201534 24589.871330
5 145 145 0.008677 0.008677 25190.295864 25190.295864 25114.265768
6 152 152 0.009179 0.009179 27468.551513 27468.551513 25496.094510
7 164 164 0.009731 0.009731 25589.768236 25589.768236 25841.709589
8 221 221 0.010292 0.010292 27011.656365 27011.656365 26122.860958
9 240 240 0.010906 0.010906 24416.578310 24416.578310 26357.806960
10 385 385 0.011641 0.011641 28771.901789 28771.901789 26552.908534
11 337 337 0.012403 0.012403 25284.823168 25284.823168 26669.362211
12 416 416 0.013082 0.013082 28424.360050 28424.360050 26710.727044
13 477 477 0.013835 0.013835 26855.054730 26855.054730 26697.797966
14 573 573 0.014610 0.014610 24868.689362 24868.689362 26629.676966
15 812 812 0.015539 0.015539 24253.028012 24253.028012 26486.661566
16 877 877 0.016537 0.016537 27131.836279 27131.836279 26272.093615
17 933 933 0.017491 0.017491 26495.088589 26495.088589 26019.621910
18 1329 1329 0.018547 0.018547 25686.453114 25686.453114 25696.809061
19 1337 1337 0.019663 0.019663 23777.659731 23777.659731 25317.468416
20 1733 1733 0.020813 0.020813 24806.508900 24806.508900 24894.970845
21 2117 2117 0.022092 0.022092 24705.678726 24705.678726 24397.833864
22 2353 2353 0.023419 0.023419 24094.186651 24094.186651 23860.701824
23 2881 2881 0.024802 0.024802 22796.291542 22796.291542 23286.246187
24 3485 3485 0.026302 0.026302 22413.566048 22413.566048 22654.326413
25 4137 4137 0.027903 0.027903 22149.671391 22149.671391 21977.310040
26 4934 4934 0.029599 0.029599 21899.816066 21899.816066 21264.173274
27 5689 5689 0.031363 0.031363 21050.596327 21050.596327 20532.199098
28 6974 6974 0.033242 0.033242 19932.340630 19932.340630 19768.376673
29 8101 8101 0.035232 0.035232 18653.752676 18653.752676 18982.094040
30 9894 9894 0.037353 0.037353 17975.300393 17975.300393 18172.288732
31 11742 11742 0.039619 0.039619 17402.321537 17402.321537 17341.992197
32 13906 13906 0.042011 0.042011 16270.486577 16270.486577 16506.083731
33 16446 16446 0.044532 0.044532 15594.581160 15594.581160 15670.449258
34 19622 19622 0.047199 0.047199 14858.352450 14858.352450 14836.541883
35 23414 23414 0.050034 0.050034 14054.208171 14054.208171 14004.752609
36 27735 27735 0.053037 0.053037 13338.594659 13338.594659 13183.151416
37 33207 33207 0.056220 0.056220 12294.185672 12294.185672 12374.734891
38 39742 39742 0.059614 0.059614 11634.051369 11634.051369 11579.168067
39 47123 47123 0.063210 0.063210 10875.450516 10875.450516 10804.986853
40 55895 55895 0.067007 0.067007 10001.138943 10001.138943 10058.072101
41 66760 66760 0.071032 0.071032 9320.511768 9320.511768 9337.758389
42 79415 79415 0.075302 0.075302 8643.301934 8643.301934 8645.932898
43 95068 95068 0.079839 0.079839 7980.458027 7980.458027 7983.308811
44 112152 112152 0.084636 0.084636 7399.408589 7399.408589 7354.774247
45 134824 134824 0.089724 0.089724 6766.160383 6766.160383 6758.827377
46 159792 159792 0.095128 0.095128 6183.605548 6183.605548 6195.637581
47 190845 190845 0.100851 0.100851 5685.518286 5685.518286 5666.827624
48 227381 227381 0.106927 0.106927 5155.974440 5155.974440 5171.020208
49 269601 269601 0.113353 0.113353 4715.616130 4715.616130 4709.488421
50 322450 322450 0.120166 0.120166 4291.546711 4291.546711 4280.199130
51 383822 383822 0.127400 0.127400 3883.804034 3883.804034 3881.681730
52 457222 457222 0.135066 0.135066 3501.993411 3501.993411 3513.598191
53 543855 543855 0.143187 0.143187 3179.516439 3179.516439 3174.722012
54 648747 648747 0.151798 0.151798 2867.021322 2867.021322 2863.345374
55 756052 756052 0.160863 0.160863 2585.557058 2585.557058 2579.875527
56 766244 766244 0.170445 0.170445 2326.006092 2326.006092 2321.226464
57 735654 735654 0.180672 0.180672 2086.547296 2086.547296 2083.613079
58 678384 678384 0.191488 0.191488 1869.165829 1869.165829 1867.858741
59 586472 586472 0.202921 0.202921 1673.503804 1673.503804 1672.448456
