bin n_pre n_post k_pre/h/Mpc k_post power_pre/(Mpc/h)^3 power_post power_reference
0 89 89 0.006366 0.006366 22327.187806 22327.187806 22312.865547
1 64 64 0.006811 0.006811 23352.340222 23352.340222 23006.661628
2 84 84 0.007306 0.007306 23779.253107 23779.253107 23685.745261
3 69 69 0.007672 0.007672 26360.753538 26360.753538 24127.793274
4 116 116 0.008103 0.008103 22640.691110 22640.691110 24589.871330
5 145 145 0.008677 0.008677 26931.649494 26931.649494 25114.265768
6 152 152 0.009179 0.009179 25772.248764 25772.248764 25496.094510
7 164 164 0.009731 0.009731 22227.695301 22227.695301 25841.709589
8 221 221 0.010292 0.010292 25450.849954 25450.849954 26122.860958
9 240 240 0.010906 0.010906 27125.794993 27125.794993 26357.806960
10 385 385 0.011641 0.011641 25713.977501 25713.977501 26552.908534
11 337 337 0.012403 0.012403 28484.680078 28484.680078 26669.362211
12 416 416 0.013082 0.013082 26105.175820 26105.175820 26710.727044
13 477 477 0.013835 0.013835 26607.112344 26607.112344 26697.797966
14 573 573 0.014610 0.014610 25149.518460 25149.518460 26629.676966
15 812 812 0.015539 0.015539 25111.769697 25111.769697 26486.661566
16 877 877 0.016537 0.016537 24207.068504 24207.068504 26272.093615
17 933 933 0.017491 0.017491 26657.282983 26657.282983 26019.621910
18 1329 1329 0.018547 0.018547 26848.216321 26848.216321 25696.809061
19 1337 1337 0.019663 0.019663 26179.528015 26179.528015 25317.468416
20 1733 1733 0.020813 0.020813 24894.928367 24894.928367 24894.970845
21 2117 2117 0.022092 0.022092 24540.318402 24540.318402 24397.833864
22 2353 2353 0.023419 0.023419 24454.612263 24454.612263 23860.701824
23 2881 2881 0.024802 0.024802 23842.317036 23842.317036 23286.246187
24 3485 3485 0.026302 0.026302 22814.835988 22814.835988 22654.326413
25 4137 4137 0.027903 0.027903 21746.156239 21746.156239 21977.310040
26 4934 4934 0.029599 0.029599 21424.489829 21424.489829 21264.173274
27 5689 5689 0.031363 0.031363 20528.584626 20528.584626 20532.199098
28 6974 6974 0.033242 0.033242 20220.616138 20220.616138 19768.376673
29 8101 8101 0.035232 0.035232 18729.464318 18729.464318 18982.094040
30 9894 9894 0.037353 0.037353 18147.209391 18147.209391 18172.288732
31 11742 11742 0.039619 0.039619 17488.129329 17488.129329 17341.992197
32 13906 13906 0.042011 0.042011 16207.856101 16207.856101 16506.083731
33 16446 16446 0.044532 0.044532 15598.955070 15598.955070 15670.449258
34 19622 19622 0.047199 0.047199 14906.561890 14906.561890 14836.541883
35 23414 23414 0.050034 0.050034 13894.308499 13894.308499 14004.752609
36 27735 27735 0.053037 0.053037 13184.772109 13184.772109 13183.151416
37 33207 33207 0.056220 0.056220 12362.900507 12362.900507 12374.734891
38 39742 39742 0.059614 0.059614 11626.584722 11626.584722 11579.168067
39 47123 47123 0.063210 0.063210 10792.183439 10792.183439 10804.986853
40 55895 55895 0.067007 0.067007 10075.012306 10075.012306 10058.072101
41 66760 66760 0.071032 0.071032 9333.146810 9333.146810 9337.758389
42 79415 79415 0.075302 0.075302 8657.540362 8657.540362 8645.932898
43 95068 95068 0.079839 0.079839 7935.517355 7935.517355 7983.308811
44 112152 112152 0.084636 0.084636 7374.241487 7374.241487 7354.774247
45 134824 134824 0.089724 0.089724 6796.028390 6796.028390 6758.827377
46 159792 159792 0.095128 0.095128 6203.379731 6203.379731 6195.637581
47 190845 190845 0.100851 0.100851 5653.050089 5653.050089 5666.827624
48 227381 227381 0.106927 0.106927 5154.850585 5154.850585 5171.020208
49 269601 269601 0.113353 0.113353 4722.526261 4722.526261 4709.488421
50 322450 322450 0.120166 0.120166 4274.328778 4274.328778 4280.199130
51 383822 383822 0.127400 0.127400 3885.208846 3885.208846 3881.681730
52 457222 457222 0.135066 0.135066 3515.741617 3515.741617 3513.598191
53 543855 543855 0.143187 0.143187 3177.533331 3177.533331 3174.722012
54 648747 648747 0.151798 0.151798 2870.962544 2870.962544 2863.345374
55 756052 756052 0.160863 0.160863 2578.275736 2578.275736 2579.875527
56 766244 766244 0.170445 0.170445 2322.912885 2322.912885 2321.226464
57 735654 735654 0.180672 0.180672 2087.915587 2087.915587 2083.613079
58 678384 678384 0.191488 0.191488 1871.576660 1871.576660 1867.858741
59 586472 586472 0.202921 0.202921 1675.345681 1675.345681 1672.448456
