bin n k/h/Mpc lin_power/(Mpc/h)^3 2_power reference
0 89 0.006366 22615.330554 22615.330554 22312.865547
1 64 0.006811 23845.174221 23845.174221 23006.661628
2 84 0.007306 27420.488483 27420.488483 23685.745261
3 69 0.007672 21490.521891 21490.521891 24127.793274
4 116 0.008103 22566.968672 22566.968672 24589.871330
5 145 0.008677 27096.923539 27096.923539 25114.265768
6 152 0.009179 29910.289787 29910.289787 25496.094510
7 164 0.009731 26752.474394 26752.474394 25841.709589
8 221 0.010292 27365.937195 27365.937195 26122.860958
9 240 0.010906 25201.511001 25201.511001 26357.806960
10 385 0.011641 27631.039332 27631.039332 26552.908534
11 337 0.012403 26348.096121 26348.096121 26669.362211
12 416 0.013082 27602.066717 27602.066717 26710.727044
13 477 0.013835 26416.715405 26416.715405 26697.797966
14 573 0.014610 26615.447181 26615.447181 26629.676966
15 812 0.015539 25937.976128 25937.976128 26486.661566
16 877 0.016537 28223.757687 28223.757687 26272.093615
17 933 0.017491 27386.064468 27386.064468 26019.621910
18 1329 0.018547 25196.012402 25196.012402 25696.809061
19 1337 0.019663 24543.211869 24543.211869 25317.468416
20 1733 0.020813 24984.122370 24984.122370 24894.970845
21 2117 0.022092 24489.187291 24489.187291 24397.833864
22 2353 0.023419 22924.187110 22924.187110 23860.701824
23 2881 0.024802 23453.483466 23453.483466 23286.246187
24 3485 0.026302 23142.824660 23142.824660 22654.326413
25 4137 0.027903 21931.187965 21931.187965 21977.310040
26 4934 0.029599 21331.466615 21331.466615 21264.173274
27 5689 0.031363 20209.720673 20209.720673 20532.199098
28 6974 0.033242 19439.935404 19439.935404 19768.376673
29 8101 0.035232 19123.855983 19123.855983 18982.094040
30 9894 0.037353 18206.143378 18206.143378 18172.288732
31 11742 0.039619 17413.552224 17413.552224 17341.992197
32 13906 0.042011 16799.581572 16799.581572 16506.083731
33 16446 0.044532 15620.435826 15620.435826 15670.449258
34 19622 0.047199 14836.664818 14836.664818 14836.541883
35 23414 0.050034 14187.207586 14187.207586 14004.752609
36 27735 0.053037 13173.920211 13173.920211 13183.151416
37 33207 0.056220 12381.119220 12381.119220 12374.734891
38 39742 0.059614 11588.779980 11588.779980 11579.168067
39 47123 0.063210 10693.178699 10693.178699 10804.986853
40 55895 0.067007 10030.592891 10030.592891 10058.072101
41 66760 0.071032 9359.807641 9359.807641 9337.758389
42 79415 0.075302 8597.625744 8597.625744 8645.932898
43 95068 0.079839 8020.017844 8020.017844 7983.308811
44 112152 0.084636 7349.817005 7349.817005 7354.774247
45 134824 0.089724 6747.918018 6747.918018 6758.827377
46 159792 0.095128 6196.179900 6196.179900 6195.637581
47 190845 0.100851 5667.262158 5667.262158 5666.827624
48 227381 0.106927 5184.075322 5184.075322 5171.020208
49 269601 0.113353 4716.647310 4716.647310 4709.488421
50 322450 0.120166 4276.401196 4276.401196 4280.199130
51 383822 0.127400 3883.983071 3883.983071 3881.681730
52 457222 0.135066 3519.424466 3519.424466 3513.598191
53 543855 0.143187 3165.922113 3165.922113 3174.722012
54 648747 0.151798 2862.978389 2862.978389 2863.345374
55 756052 0.160863 2583.198826 2583.198826 2579.875527
56 766244 0.170445 2324.946166 2324.946166 2321.226464
57 735654 0.180672 2087.353544 2087.353544 2083.613079
58 678384 0.191488 1871.494164 1871.494164 1867.858741
59 586472 0.202921 1673.781986 1673.781986 1672.448456
