bin n k/h/Mpc corr/(Mpc/h)^3 PL
0 8 0.007109 21758.808228 22999.876100
1 17 0.007540 26568.334790 23478.005644
2 16 0.007948 25678.068608 23864.972622
3 16 0.008428 19306.859399 24246.105073
4 16 0.009062 20986.274106 24636.519374
5 24 0.009404 18981.609391 24799.318857
6 5 0.010053 12617.539384 25025.435661
7 48 0.010488 26200.419329 25121.814900
8 52 0.011302 20939.958694 25198.482380
9 12 0.011788 35201.067033 25187.089548
10 73 0.012661 27406.848648 25074.855481
11 56 0.013399 27230.459238 24900.907399
12 56 0.014118 25459.153580 24672.377066
13 85 0.014919 22021.719307 24360.094390
14 104 0.015855 28695.046907 23931.266839
15 112 0.016716 21985.940118 23486.366599
16 105 0.017749 20966.838053 22902.637758
17 152 0.018521 24351.063913 22437.905400
18 145 0.019564 18803.306775 21779.289565
19 236 0.020658 21054.941205 21061.683202
20 273 0.022004 23494.813878 20152.100791
21 332 0.023389 18397.419306 19200.137970
22 337 0.024805 17118.870445 18221.624140
23 368 0.026076 18351.631806 17347.152102
24 517 0.027581 17270.331985 16325.213983
25 540 0.029145 15500.347110 15285.150133
26 685 0.030811 13877.412177 14210.832626
27 757 0.032566 13619.335625 13121.032824
28 989 0.034451 12113.606326 12004.973735
29 1064 0.036439 10625.328285 10893.222564
30 1277 0.038477 10411.253100 9825.883298
31 1601 0.040717 8761.466609 8738.509393
32 1801 0.043096 7901.748510 7681.894897
33 2157 0.045569 6931.600656 6687.502123
34 2477 0.048160 6076.579340 5754.797756
35 2969 0.050893 5219.912088 4885.546846
36 3462 0.053791 4289.845988 4082.618512
37 4173 0.056863 3596.314460 3352.970054
38 5045 0.060185 2844.202814 2689.805392
39 5794 0.063688 2459.031154 2114.153156
40 6881 0.067339 1876.153045 1629.904528
41 8098 0.071214 1447.003410 1224.260858
42 9585 0.075295 1107.366667 895.503465
43 11286 0.079619 811.196307 634.846006
44 13358 0.084185 590.492983 435.266338
45 15758 0.089016 419.173234 287.362194
46 18910 0.094158 290.777041 181.414056
47 21890 0.099576 195.138022 109.502631
48 25991 0.105268 127.360820 62.989837
49 31106 0.111339 82.231372 34.048648
50 36295 0.117753 51.293253 17.268701
51 43006 0.124502 30.912377 8.186242
52 50771 0.131649 18.389129 3.581522
53 60191 0.139212 10.524668 1.433457
54 71044 0.147218 5.756550 0.519367
55 84279 0.155692 3.120297 0.168385
56 92415 0.164505 1.660538 0.049294
57 91386 0.173911 0.782165 0.012460
58 87204 0.183897 0.342058 0.002689
59 79268 0.194425 0.139325 0.000492
