bin n k/h/Mpc lin_power/(Mpc/h)^3 2_power reference
0 8 0.007109 35448.845309 170688.083633 23393.722258
1 17 0.007540 19081.836200 22732873.714177 23930.775070
2 16 0.007948 24900.926465 318510.613732 24376.886300
3 16 0.008428 32130.004805 292336.489798 24831.769980
4 16 0.009062 32747.786667 144493.308319 25325.721668
5 24 0.009404 30225.360250 238757.668629 25547.238371
6 5 0.010053 21678.448747 4982508.043929 25889.836790
7 48 0.010488 25380.023484 276091.667021 26067.612656
8 52 0.011302 27596.724300 129635.838453 26303.547644
9 12 0.011788 43514.197996 97728.659225 26391.010948
10 73 0.012661 24381.161043 890897.948855 26462.447837
11 56 0.013399 24702.823365 98799.174856 26449.160685
12 56 0.014118 29654.875399 115911.785925 26381.345659
13 85 0.014919 28596.979739 186954.337275 26251.810539
14 104 0.015855 27966.659076 80926.688370 26040.349663
15 112 0.016716 26109.748973 70981.821981 25798.309229
16 105 0.017749 30206.739097 129726.043738 25459.793114
17 152 0.018521 27256.878782 68306.038431 25178.835369
18 145 0.019564 24680.150383 133539.239318 24768.369689
19 236 0.020658 24030.068590 88877.368994 24308.819845
20 273 0.022004 21257.921347 53901.696200 23712.262066
21 332 0.023389 25378.166716 65050.087902 23074.388697
22 337 0.024805 22152.215294 48401.992938 22406.426710
23 368 0.026076 22089.893670 51613.630928 21799.812326
24 517 0.027581 22000.523750 54044.703841 21079.672335
25 540 0.029145 18940.374534 32116.974730 20334.116722
26 685 0.030811 19309.547099 54108.038490 19549.807186
27 757 0.032566 19023.947721 41280.136530 18738.011259
28 989 0.034451 17662.865572 32914.561501 17887.556342
29 1064 0.036439 17139.871645 31790.538943 17018.121014
30 1277 0.038477 16930.244443 38983.725422 16158.713311
31 1601 0.040717 15278.538614 32244.344168 15253.198910
32 1801 0.043096 14346.953786 30950.055841 14337.731570
33 2157 0.045569 12948.570902 24202.728141 13436.099163
34 2477 0.048160 12416.111370 23536.634490 12545.445512
35 2969 0.050893 11573.028126 21587.406706 11664.643902
36 3462 0.053791 10786.849999 18239.009643 10793.545146
37 4173 0.056863 10051.321805 17593.942851 9937.116469
38 5045 0.060185 9013.346196 15673.326906 9084.088965
39 5794 0.063688 8230.457481 13302.560565 8260.708136
40 6881 0.067339 7454.592734 12562.219645 7479.242049
41 8098 0.071214 6726.666258 17173.601855 6728.325518
42 9585 0.075295 6034.442939 10475.080472 6016.511973
43 11286 0.079619 5342.822678 9307.498771 5341.905159
44 13358 0.084185 4706.881754 8422.886942 4709.002943
45 15758 0.089016 4147.512954 9761.504254 4118.188511
46 18910 0.094158 3549.371384 10171.038317 3567.702047
47 21890 0.099576 3042.805846 5710.281596 3064.053750
48 25991 0.105268 2632.799506 5264.812343 2608.009049
49 31106 0.111339 2193.860339 5003.285308 2192.848184
50 36295 0.117753 1817.721464 4085.079331 1822.239317
51 43006 0.124502 1506.381808 3560.991269 1496.241450
52 50771 0.131649 1225.487241 3225.212803 1210.928352
53 60191 0.139212 970.069832 2730.258491 964.688122
54 71044 0.147218 755.969877 2453.802016 755.256114
55 84279 0.155692 579.987004 2418.056275 580.040852
56 98804 0.164630 438.658748 1916.847440 436.520315
57 117244 0.174067 323.508240 2306.414662 321.154633
58 139124 0.184085 229.760816 1478.337454 229.994325
59 163748 0.194672 160.720811 1243.976379 160.109293
