bin n k/h/Mpc lin_power/(Mpc/h)^3 2_power reference
0 124 0.007026 23232.687796 138649169.983163 23284.255005
1 93 0.007610 22493.194001 115804005.519065 24022.244590
2 104 0.008076 21764.592895 152838246.858026 24522.864660
3 80 0.008457 22978.632314 122391306.012778 24880.707731
4 205 0.009030 26474.175717 318002227.268305 25337.980245
5 100 0.009540 24208.330774 186397722.287240 25671.902547
6 209 0.010041 22640.347023 221022744.443954 25939.975726
7 240 0.010642 24111.964322 176692669.330792 26190.990364
8 241 0.011260 25311.510790 148117633.919285 26378.859688
9 340 0.011879 26420.586942 132917801.596227 26504.196187
10 393 0.012644 28054.613835 202280563.735429 26583.877531
11 428 0.013354 25415.812391 162516538.805276 26593.877988
12 501 0.014109 27709.962999 150082363.445977 26547.103032
13 585 0.014893 24554.816927 166764179.828940 26445.471992
14 724 0.015725 25281.360731 155271712.055284 26288.082865
15 893 0.016669 25618.405961 134266216.337617 26058.018988
16 981 0.017639 26183.346989 173373199.418837 25775.478604
17 1153 0.018627 26719.218351 141290660.785721 25449.047955
18 1385 0.019682 24735.330960 191117979.437926 25066.623400
19 1557 0.020783 24034.232243 135272307.365817 24638.846302
20 2017 0.021982 23312.804730 161106836.599433 24147.949842
21 2305 0.023275 23646.449913 151994237.650465 23597.762548
22 2761 0.024635 22322.831304 146354929.929035 23004.509502
23 3185 0.026058 22257.701537 153972854.982052 22374.347521
24 3809 0.027557 21437.805369 167444033.978292 21707.531091
25 4433 0.029141 20905.135183 144540942.028161 21005.390400
26 5322 0.030819 20382.415664 146254290.775329 20269.380180
27 6089 0.032574 19836.407422 150628860.765668 19513.136305
28 7270 0.034419 18801.292799 139400187.240765 18736.957527
29 8861 0.036411 17824.870917 142632292.188125 17924.050435
30 10350 0.038535 17313.849449 135278019.549661 17088.414401
31 11926 0.040738 16053.929224 137387110.947741 16256.943184
32 14314 0.043059 15378.487368 132969715.541163 15421.319804
33 17194 0.045556 14559.270773 133496381.359781 14568.306649
34 19970 0.048189 13818.208398 131423713.015494 13719.590185
35 23330 0.050935 12829.637311 130685535.093946 12888.390860
36 28019 0.053852 12035.309602 126763878.002775 12063.158425
37 32810 0.056943 11220.696748 122341920.807305 11249.833309
38 39011 0.060210 10355.642043 120529546.515529 10454.219599
39 46275 0.063681 9673.635814 118208146.541674 9676.197213
40 54283 0.067342 8978.207879 116205405.168401 8924.022783
41 64447 0.071210 8253.200358 112094866.501396 8199.334697
42 75927 0.075301 7487.176179 109533033.479125 7503.339685
43 89732 0.079622 6859.414307 105549401.971867 6838.979267
44 106183 0.084193 6202.719699 102449672.691950 6206.592361
45 125668 0.089033 5627.065547 98149379.164910 5606.933316
46 148604 0.094155 5038.493387 95113092.434181 5041.328426
47 175353 0.099567 4523.130440 90832476.128805 4511.091945
48 207425 0.105288 4025.688943 86705430.566065 4016.139428
49 244857 0.111334 3558.405878 83243587.437865 3556.215801
50 289677 0.117728 3118.248161 80506363.007445 3130.827103
51 342617 0.124493 2744.177557 75660278.590976 2739.112258
52 405414 0.131652 2378.276298 71817507.240028 2380.287445
53 478986 0.139223 2055.790160 68279628.601528 2053.717420
54 566031 0.147224 1762.140677 64676701.870383 1758.430056
55 668383 0.155679 1494.381645 62092224.766453 1493.215509
56 738901 0.164493 1258.597049 58953537.334339 1259.536012
57 725334 0.173923 1049.888721 54880825.518737 1049.808362
58 690734 0.183891 867.111319 51262529.109144 865.587740
59 629822 0.194412 707.421466 47987170.183636 705.503275
